contract_id	published_date	start_date	duration_extension	outcome	second_place_outcome	buyer	region	atc	duration	contract_type	sku	end_date_extension	participants_no	quantity_annual	quantity_total	maximum_price_allowed	active_ingredient	pack_strength	participants	participants_price	published_date_month	winner	winner_price	second_place	second_place_price	participants_price2	participants_price3	participants_price4	participants_price5	Compared_participants_price	Comparision1	Comparision_max_price
1	16-05-2013	24-05-2013	10	won		buyer_1	region_1	C07AB07	39	regional	molecule_x_10mg_tablet	30-06-2017	1	9860	32966.51108	0.1	molecule_x	10mg	participants_16	0.0004	01-05-2013	participants_16	0.0004			0.0004				0.0004	1	1
2	29-04-2013	21-06-2013	0	won		buyer_2	region_2	C07AB07	48	wide area	molecule_x_10mg_tablet	30-06-2017	1	54988	220249.4427	63442.21	molecule_x	10mg	participants_16	0.007	01-04-2013	participants_16	0.007			0.007				0.007	1	1
3	09-06-2013	14-08-2014	6	won	lost	buyer_3	region_3	C07AB07	12	regional	molecule_x_10mg_tablet	14-02-2016	2	1904	2680.639219	0.11635	molecule_x	10mg	participants_16|participants_23	0.014|0.07071	01-06-2013	participants_16	0.014	participants_23	0.07071	0.014	0.07071			0.014	1	1
4	04-05-2013	17-05-2013	19	won		buyer_4	region_4	C07AB07	36	regional	molecule_x_10mg_tablet	31-12-2017	1	1652	5900.676494	0.03	molecule_x	10mg	participants_16	0.025	01-05-2013	participants_16	0.025			0.025				0.025	1	1
5	18-12-2013	17-12-2013	6	won		buyer_5	region_5	C07AB07	36	regional	molecule_x_10mg_tablet	30-06-2017	1	1000	3289.22341	0.0001	molecule_x	10mg	participants_16	1.00E-05	01-12-2013	participants_16	1.00E-05			1.00E-05				0.00001	1	1
6	06-12-2013	21-02-2014	14	won		buyer_6	region_6	C07AB07	48	regional	molecule_x_10mg_tablet	20-04-2019	1	2088	9026.16847	0.0255	molecule_x	10mg	participants_16	0.019	01-12-2013	participants_16	0.019			0.019				0.019	1	1
7	24-02-2014	01-01-2014	3	won		buyer_7	region_7	C07AB07	12	regional	molecule_x_10mg_tablet	31-03-2015	1	16490	17282.31383	5.00E-05	molecule_x	10mg	participants_16	1.00E-05	01-02-2014	participants_16	1.00E-05			1.00E-05				0.00001	1	1
8	08-03-2014	22-05-2014	10	won	lost	buyer_8	region_8	C07AB07	36	regional	molecule_x_10mg_tablet	22-03-2018	4	10332	31951.79163	0.08	molecule_x	10mg	participants_16|participants_5|participants_6|participants_23	0.03|0.08|0.034|0.04066	01-03-2014	participants_16	0.03	participants_6	0.034	0.03	0.08	0.034	0.04066	0.03	1	1
9	18-03-2014	30-05-2014	6	won		buyer_9	region_9	C07AB07	24	regional	molecule_x_10mg_tablet	29-11-2016	1	17413	35013.91854	0.0001	molecule_x	10mg	participants_16	1.00E-05	01-03-2014	participants_16	1.00E-05			1.00E-05				0.00001	1	1
10	07-09-2014	31-08-2014	7	won		buyer_10	region_10	C07AB07	36	regional	molecule_x_10mg_tablet	31-03-2020	1	3467	10766.58581	0.0001	molecule_x	10mg	participants_16	0.0001	01-09-2014	participants_16	0.0001			0.0001				0.0001	1	1
